,cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-version_jem_form,jem-date_patch,jem-time_patch,jem-date_patch_y-m-d,jem-date_patch_y,jem-date_patch_m,jem-date_patch_d,jem-date_acsf,jem-date_blank,jem-date_internal,jem-status_misinformation,jem-id_species,jem-id_slice_specimen,jem-id_cell_specimen,jem-status_patch_tube,jem-id_patched_cell_container,jem-id_rig_user,jem-id_rig_number,jem-status_attempt,jem-cell_attached_status,jem-cell_attached_status_failure,jem-break_in_status,jem-break_in_status_failure,jem-status_success_failure,jem-status_reporter,jem-cell_virus_enhancer,jem-roi_super,jem-roi_major_minor,jem-roi_major,jem-roi_minor,jem-cell_health,jem-health_fill_quality,jem-nucleus_post_patch,jem-nucleus_sucked,jem-res_final_seal,jem-depth,jem-in_bath_resistance,jem-in_bath_clog,jem-cell_attached_dimple,jem-break_in_pressure_max,jem-break_in_zap_max,jem-break_in_zap_use,jem-break_in_reseal,jem-pressure_extraction,jem-pressure_retraction,jem-time_duration_experiment,jem-time_duration_extraction,jem-time_duration_retraction,jem-in_bath_time_start,jem-seal_time_start,jem-cell_attached_time_start,jem-break_in_time_start,jem-break_in_time_end,jem-time_exp_extraction_start,jem-time_exp_extraction_end,jem-time_exp_retraction_end,jem-time_exp_channel_end,jem-virus_enhancer,jem-dic,jem-slice_level_project,jem-project_level_nucleus,jem-project_name,jem-project_icv_injection_fluorescent_roi,jem-project_retrograde_labeling_hemisphere,jem-project_retrograde_labeling_region,jem-project_retrograde_labeling_exp,jem-notes_overall,jem-notes_qc,jem-notes_extraction,jem-notes_failure,jem-time_slice_eval,jem-slice_health,jem-slice_observations,jem-slice_quality_comments,lims-id_species,lims-id_project_code,lims-id_slice_specimen,lims-id_cell_specimen,lims-id_patched_cell_container,lims-cell_reporter,lims-structure,lims-histology_well_name,lims-id_cell_specimen_id,lims-id_slice_genotype,lims-depth,test-jem_lims_specimen_id_congruency,tree_subclass,tree_cluster,tree_class,marker_sum_norm_label,Norm_Marker_Sum.0.4_label,patched_cell_container,cell_name,rna_amplification_pass_fail,Genes.Detected.CPM
10,H23.03.305.11.65.01.03,17.72769634319395,,,,,2.1.5,05/10/2023,09:50:38,2023-05-10,2023.0,5.0,10.0,05/09/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.65.01,H23.03.305.11.65.01.03,Patch Tube,PCS4_230510_353_A01,audreym,6,12.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L6,TCx,L6,1.0,2.0,nucleus_present,intentionally-surface,2000.0,51.0,3.2,No,Yes,12.0,50us,Multiple,No,22.0,25.0,13.48,3.88,7.97,16:37:50,,16:39:54,16:40:58,16:42:00,16:55:29,16:59:22,17:07:20,17:16:23,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.65.01.03,PCS4_230510_353_A01,not applicable,MTG,EPhys_230508_04_A03_H,H23.03.305,,52.1,Matching JEM & LIMS Information,Pvalb,Inh L4-6 PVALB SULF1,GABAergic,0.9216841499640293,True,PCS4_230510_353_A01,H23.03.305.11.65.01.03,Pass,9780.0
11,H19.03.312.11.04.01.01,3.207750698819469,,,,,2.0.8,05/14/2019,19:26:07,2019-05-14,2019.0,5.0,14.0,05/13/2019,04/30/2019,03/28/2019,No,Human,H19.03.312.11.04.01,H19.03.312.11.04.01.01,Patch Tube,P8S4_190514_358_A01,lindsayn,3,2.0,,,,,SUCCESS,,,Cortical,FCx_L4,FCx,L4,5.0,,nucleus_present,intentionally,2000.0,42.0,4.2,,,,,,,60.0,60.0,6.48,2.3,3.35,19:54:17,,,,19:57:21,20:03:50,20:06:08,20:09:29,20:12:12,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.312,H19.03.312.11.04.01.01,P8S4_190514_358_A01,not applicable,MFG,EPhys_190513_02_B04_H,H19.03.312,,42.2,Matching JEM & LIMS Information,L4_IT,Exc L3-5 RORB FILIP1L,Glutamatergic,1.0497229831490411,True,P8S4_190514_358_A01,H19.03.312.11.04.01.01,Pass,12180.0
12,H23.51.002.11.09.01.04,6.27618110401939,,,,,2.1.5,03/31/2023,14:06:52,2023-03-31,2023.0,3.0,31.0,03/30/2023,02/24/2023,03/06/2023,No,Human,H23.51.002.11.09.01,H23.51.002.11.09.01.04,Patch Tube,P6S4_230331_407_A01,kristab,7,8.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L5,FCx,L5,5.0,3.0,nucleus_present,no,2100.0,55.5,5.8,No,Yes,197.0,Not Applicable,Not Applicable,No,41.0,39.6,5.48,3.28,2.13,17:36:07,,17:38:02,17:38:13,17:38:42,17:44:11,17:47:28,17:49:36,17:56:09,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.002,H23.51.002.11.09.01.04,P6S4_230331_407_A01,not applicable,,EPhys_230403_03_A03_H,H23.51.002,,55.5,Matching JEM & LIMS Information,Sst,Inh L5-6 SST KLHDC8A,GABAergic,1.015062849764299,True,P6S4_230331_407_A01,H23.51.002.11.09.01.04,Pass,10447.0
13,H23.03.303.13.66.01.04,8.338032445092097,,,,,2.1.5,03/09/2023,09:59:23,2023-03-09,2023.0,3.0,9.0,03/08/2023,12/06/2022,12/09/2022,No,Human,H23.03.303.13.66.01,H23.03.303.13.66.01.04,Patch Tube,PCS4_230309_154_A01,kamiliamn,3,4.0,Success,,Success,,SUCCESS,Positive,,Cortical,OCx_L5,OCx,L5,3.0,2.0,nucleus_present,intentionally-surface,3000.0,78.3,5.2,No,No,20.0,Not Applicable,Not Applicable,No,44.0,50.0,12.28,9.35,4.88,12:47:02,,12:48:14,12:49:23,12:49:42,13:01:59,13:11:20,13:16:13,13:20:14,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METx,H23.03.303,H23.03.303.13.66.01.04,PCS4_230309_154_A01,positive,LiG,EPhys_230313_02_A02_H,H23.03.303,,78.3,Matching JEM & LIMS Information,Lamp5,Inh L1-4 LAMP5 LCP2,GABAergic,0.6400257147528648,True,PCS4_230309_154_A01,H23.03.303.13.66.01.04,Pass,10684.0
14,H23.51.001.11.04.01.04,5.644749983934101,,,,,2.1.5,03/13/2023,13:10:22,2023-03-13,2023.0,3.0,13.0,03/13/2023,12/06/2022,12/09/2022,No,Human,H23.51.001.11.04.01,H23.51.001.11.04.01.04,Patch Tube,PXS4_230313_153_A01,kamiliamn,3,4.0,Success,,Success,,SUCCESS,,,Cortical,OCx_L5,OCx,L5,3.0,2.0,nucleus_present,no,1000.0,110.2,5.0,No,Yes,120.0,25us,Multiple,No,50.0,110.0,11.95,6.07,3.85,14:55:46,,14:56:42,14:57:51,14:58:49,15:10:46,15:16:50,15:20:41,15:27:23,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.001,H23.51.001.11.04.01.04,PXS4_230313_153_A01,not applicable,,EPhys_230313_03_A01_H,H23.51.001,,110.2,Matching JEM & LIMS Information,L2-3_IT,Exc L2-3 LINC00507 FREM3,Glutamatergic,0.6872555036800865,True,PXS4_230313_153_A01,H23.51.001.11.04.01.04,Pass,11726.0
15,H19.03.305.11.10.01.04,5.975270272404686,,,,,2.0.8,03/05/2019,13:02:40,2019-03-05,2019.0,3.0,5.0,03/04/2019,01/25/2019,02/08/2019,No,Human,H19.03.305.11.10.01,H19.03.305.11.10.01.04,Patch Tube,P8S4_190305_354_A01,lindsayn,3,5.0,,,,,SUCCESS,,,Cortical,TCx_L1,TCx,L1,3.0,,nucleus_present,no,2000.0,44.0,4.4,,,,,,,45.0,45.0,9.35,1.83,2.93,14:32:14,,,,14:33:10,14:42:31,14:44:21,14:47:17,,None,,,Channel_Recording,None,None,None,None,None,#abcam,,,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.305,H19.03.305.11.10.01.04,P8S4_190305_354_A01,not applicable,MTG,EPhys_190304_02_B01_H,H19.03.305,,44.1,Matching JEM & LIMS Information,Sncg,Inh L1 SST CHRNA4,GABAergic,1.06375268039071,True,P8S4_190305_354_A01,H19.03.305.11.10.01.04,Pass,8862.0
16,H22.26.437.11.57.01.01,3.778547908231753,,,,,2.1.4,11/23/2022,10:29:03,2022-11-23,2022.0,11.0,23.0,11/22/2022,10/03/2022,10/27/2022,No,Human,H22.26.437.11.57.01,H22.26.437.11.57.01.01,Patch Tube,PCS4_221123_251_A01,marshallv,8,1.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L4,TCx,L4,,3.0,nucleus_present,,31.0,126.3,4.6,No,Yes,35.0,25us,Single,No,40.0,45.0,10.88,5.4,4.97,11:00:29,,11:03:39,11:03:41,11:04:27,11:15:20,11:20:44,11:25:42,11:32:59,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.437,H22.26.437.11.57.01.01,PCS4_221123_251_A01,positive,TCx,EPhys_221121_02_B03_H,H22.26.437,,126.3,Matching JEM & LIMS Information,,,,,,,,,
17,H23.03.305.11.52.01.03,7.370140274587624,,,,,2.1.5,05/23/2023,11:50:39,2023-05-23,2023.0,5.0,23.0,05/22/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.52.01,H23.03.305.11.52.01.03,Patch Tube,PCS4_230523_153_A01,kamiliamn,3,3.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L6,TCx,L6,3.0,3.0,nucleus_present,no,1000.0,89.8,4.4,No,No,60.0,Not Applicable,Not Applicable,No,50.0,77.0,8.43,4.82,8.98,13:44:37,,13:45:33,13:46:39,13:46:53,13:55:19,14:00:08,14:09:07,14:14:48,CN2724,,,Channel_Recording,None,None,None,None,None,CN2724,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.52.01.03,PCS4_230523_153_A01,positive,MTG,EPhys_230522_02_B02_H,H23.03.305,,89.8,Matching JEM & LIMS Information,Pvalb,Inh L5-6 LHX6 GLP1R,GABAergic,0.7132868383046372,True,PCS4_230523_153_A01,H23.03.305.11.52.01.03,Pass,13830.0
18,H23.03.305.11.58.01.08,2.522240767233688,,,,,2.1.5,05/17/2023,09:47:43,2023-05-17,2023.0,5.0,17.0,05/16/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.58.01,H23.03.305.11.58.01.08,Patch Tube,PCS4_230517_158_A01,kamiliamn,3,8.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L6,TCx,L6,3.0,3.0,nucleus_present,intentionally-surface,3000.0,91.2,4.2,No,No,50.0,Not Applicable,Not Applicable,No,53.0,120.0,4.03,6.37,5.95,16:09:55,,16:10:33,16:11:39,16:11:55,16:15:57,16:22:19,16:28:16,16:31:49,CN1954,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.58.01.08,PCS4_230517_158_A01,positive,MTG,EPhys_230515_04_B02_H,H23.03.305,,91.2,Matching JEM & LIMS Information,L6_IT,Exc L5-6 THEMIS C1QL3,Glutamatergic,0.5546478194391835,True,PCS4_230517_158_A01,H23.03.305.11.58.01.08,Pass,13301.0
19,H23.51.002.11.51.01.01,8.86702106482309,,,,,2.1.5,04/04/2023,10:10:16,2023-04-04,2023.0,4.0,4.0,04/03/2023,02/24/2023,03/06/2023,No,Human,H23.51.002.11.51.01,H23.51.002.11.51.01.01,Patch Tube,PXS4_230404_151_A01,kamiliamn,3,1.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L5,FCx,L5,3.0,3.0,nucleus_present,no,1000.0,44.5,5.0,No,Yes,50.0,Not Applicable,Not Applicable,No,35.0,45.0,11.57,7.08,2.67,10:32:20,,10:35:08,10:36:21,10:37:17,10:48:51,10:55:56,10:58:36,11:07:52,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc-SCH,H23.51.002,H23.51.002.11.51.01.01,PXS4_230404_151_A01,positive,,EPhys_230403_03_B01_H,H23.51.002,,44.5,Matching JEM & LIMS Information,Sst,Inh L5-6 SST KLHDC8A,GABAergic,0.9265040913497664,True,PXS4_230404_151_A01,H23.51.002.11.51.01.01,Fail,18331.0
20,H23.03.308.11.08.01.05,6.194361166598916,,,,,2.1.5,08/31/2023,13:51:53,2023-08-31,2023.0,8.0,31.0,08/30/2023,07/14/2023,07/19/2023,No,Human,H23.03.308.11.08.01,H23.03.308.11.08.01.05,Patch Tube,P4S4_230831_158_A01,kamiliamn,2,8.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L6,TCx,L6,3.0,3.0,nucleus_present,intentionally-surface,1000.0,52.6,3.9,No,Yes,0.0,Not Applicable,Not Applicable,No,61.0,74.0,20.45,4.05,2.95,18:19:02,,18:19:50,18:21:35,18:21:40,18:42:07,18:46:10,18:49:07,18:54:33,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H23.03.308,H23.03.308.11.08.01.05,P4S4_230831_158_A01,not applicable,,EPhys_230904_01_B01_H,H23.03.308,,52.6,Matching JEM & LIMS Information,,,,,,,,,
21,H23.51.002.11.09.01.01,2.611307167801126,,,,,2.1.5,03/31/2023,14:06:52,2023-03-31,2023.0,3.0,31.0,03/30/2023,02/24/2023,03/06/2023,No,Human,H23.51.002.11.09.01,H23.51.002.11.09.01.01,Patch Tube,P6S4_230331_404_A01,kristab,7,2.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L5,FCx,L5,5.0,3.0,nucleus_present,no,2733.0,23.0,5.6,No,Yes,209.0,Not Applicable,Not Applicable,No,41.5,40.3,8.5,2.73,3.23,14:46:06,,14:48:01,14:48:40,14:49:35,14:58:05,15:00:49,15:04:03,15:08:43,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.002,H23.51.002.11.09.01.01,P6S4_230331_404_A01,not applicable,,EPhys_230403_03_A03_H,H23.51.002,,23.0,Matching JEM & LIMS Information,L5_IT,Exc L4-6 RORB SEMA3E,Glutamatergic,1.0213907832970894,True,P6S4_230331_404_A01,H23.51.002.11.09.01.01,Pass,9802.0
